timestamp,amount,location,hour,avg_amount_last_10,num_tx_last_7h,time_since_last_tx,home_location_match,fraud
2025-03-09 14:21:47.732589,36.51,NY,22,36.51,0,12.54,1,0
2025-03-10 00:39:25.002234,51.27,NY,15,36.51,0,10.29,1,0
2025-03-10 16:04:52.298006,35.65,NY,16,43.89,0,15.42,1,0
2025-03-10 21:15:25.110008,63.08,NY,12,41.14,1,5.18,1,0
2025-03-11 04:51:10.102891,315.59,CA,6,46.63,0,7.6,0,1
2025-03-11 12:58:40.137937,47.39,NY,19,100.42,0,8.13,1,0
2025-03-11 21:36:18.356789,65.9,NY,12,91.58,0,8.63,1,0
2025-03-12 14:11:56.711396,44.36,IL,10,87.91,0,16.59,0,0
2025-03-12 21:13:34.079696,48.22,NY,10,82.47,0,7.03,1,0
2025-03-13 16:36:47.911664,53.85,NY,9,78.66,0,19.39,1,0
2025-03-13 18:36:11.272983,317.83,FL,5,76.18,1,1.99,0,1
2025-03-14 08:51:01.369382,68.56,NY,9,104.31,0,14.25,1,0
2025-03-15 04:36:50.390415,296.32,TX,3,106.04,0,19.76,0,1
2025-03-15 21:54:44.003327,58.75,NY,11,132.11,0,17.3,1,0
2025-03-16 19:17:45.633834,37.13,IL,18,131.68,0,21.38,0,0
2025-03-17 01:09:39.190715,59.76,NY,10,103.83,1,5.86,1,0
2025-03-17 14:10:34.652463,35.19,IL,12,105.07,0,13.02,0,0
2025-03-18 12:46:39.646977,22.9,NY,18,102.0,0,22.6,1,0
2025-03-19 12:27:28.396379,55.36,NY,11,99.85,0,23.68,1,0
2025-03-19 23:05:30.303066,49.76,NY,11,100.56,0,10.63,1,0
2025-03-20 07:46:35.210498,28.29,NY,11,100.16,0,8.68,1,0
2025-03-21 06:26:12.963846,57.61,TX,10,71.2,0,22.66,0,0
2025-03-21 18:46:08.573376,36.17,NY,16,70.11,0,12.33,1,0
2025-03-21 20:13:55.904425,70.36,NY,14,44.09,1,1.46,1,0
2025-03-22 17:57:31.920390,39.59,NY,21,45.25,0,21.73,1,0
2025-03-22 23:33:26.749466,56.29,CA,15,45.5,1,5.6,0,0
2025-03-23 23:32:59.131070,68.42,NY,15,45.15,0,23.99,1,0
2025-03-24 12:22:40.023949,65.64,NY,17,48.48,0,12.83,1,0
2025-03-24 17:59:55.005326,74.05,NY,12,52.75,1,5.62,1,0
2025-03-24 19:53:34.981840,61.42,NY,14,54.62,1,1.89,1,0
2025-03-25 00:47:04.284971,60.07,CA,13,55.78,2,4.89,0,0
2025-03-25 16:39:32.940066,49.05,NY,15,58.96,0,15.87,1,0
2025-03-25 17:54:09.068095,40.15,NY,22,58.11,1,1.24,1,0
2025-03-26 15:03:42.837610,42.52,NY,20,58.5,0,21.16,1,0
2025-03-27 05:25:16.574295,47.15,IL,14,55.72,0,14.36,0,0
2025-03-28 04:11:25.693346,29.59,NY,15,56.48,0,22.77,1,0
2025-03-29 03:29:43.704916,50.34,NY,17,53.81,0,23.31,1,0
2025-03-29 11:00:10.904486,66.6,NY,11,52.0,0,7.51,1,0
2025-03-30 00:28:01.260238,48.12,NY,16,52.09,0,13.46,1,0
2025-03-30 15:46:21.581594,58.33,FL,8,49.5,0,15.31,0,0
2025-03-31 12:36:20.309158,35.18,NY,16,49.19,0,20.83,1,0
2025-03-31 20:59:44.896912,45.02,NY,9,46.7,0,8.39,1,0
2025-04-01 15:12:16.324659,51.0,TX,9,46.3,0,18.21,0,0
2025-04-02 14:36:17.328009,46.42,NY,12,47.39,0,23.4,1,0
2025-04-03 07:12:19.292337,62.65,NY,18,47.78,0,16.6,1,0
2025-04-03 08:06:14.726530,53.7,NY,22,49.32,1,0.9,1,0
2025-04-03 15:25:05.969604,74.0,CA,22,51.74,0,7.31,0,0
2025-04-04 11:31:28.091981,60.62,NY,15,54.1,0,20.11,1,0
2025-04-04 17:01:51.380602,72.43,TX,20,53.5,1,5.51,0,0
2025-04-05 03:37:00.675160,56.01,NY,10,55.93,0,10.59,1,0
2025-04-05 21:06:58.072966,47.76,NY,10,55.7,0,17.5,1,0
2025-04-06 00:49:56.939664,48.37,NY,14,56.96,1,3.72,1,0
2025-04-06 19:26:14.264316,54.26,NY,12,57.3,0,18.6,1,0
2025-04-06 22:08:42.701829,48.91,CA,11,57.62,1,2.71,0,0
2025-04-07 14:18:13.900956,52.11,FL,20,57.87,0,16.16,0,0
2025-04-08 06:27:24.615243,50.7,NY,9,56.82,0,16.15,1,0
2025-04-08 18:16:42.939878,40.76,NY,8,56.52,0,11.82,1,0
2025-04-08 23:56:49.126785,41.66,NY,20,53.19,1,5.67,1,0
2025-04-09 20:04:55.281821,57.61,NY,10,51.3,0,20.14,1,0
2025-04-10 17:46:27.313372,59.46,NY,11,49.82,0,21.69,1,0
2025-04-10 23:53:17.429800,31.64,NY,20,50.16,1,6.11,1,0
2025-04-11 12:46:54.743777,47.85,NY,19,48.55,0,12.89,1,0
2025-04-12 12:18:13.016474,47.98,NY,13,48.5,0,23.52,1,0
2025-04-13 08:49:29.920793,58.12,NY,8,47.87,0,20.52,1,0
2025-04-13 19:17:08.958964,50.07,NY,21,48.79,0,10.46,1,0
2025-04-14 09:11:39.425555,70.29,NY,14,48.58,0,13.91,1,0
2025-04-15 07:38:16.693178,50.89,NY,16,50.54,0,22.44,1,0
2025-04-15 21:39:06.948568,33.24,NY,9,51.56,0,14.01,1,0
2025-04-16 13:42:00.880999,68.67,IL,17,50.72,0,16.05,0,0
2025-04-16 23:09:51.898410,37.54,NY,10,51.82,0,9.46,1,0
2025-04-17 19:34:25.433077,57.41,NY,11,49.63,0,20.41,1,0
2025-04-18 12:20:53.564755,40.49,NY,9,52.21,0,16.77,1,0
2025-04-18 15:14:32.091044,77.45,NY,13,51.47,1,2.89,1,0
2025-04-19 07:20:27.169650,29.13,NY,19,54.42,0,16.1,1,0
2025-04-19 16:10:54.027263,46.36,NY,9,51.52,0,8.84,1,0
2025-04-20 12:43:56.424970,49.17,NY,22,51.15,0,20.55,1,0
2025-04-20 15:39:47.364948,44.35,NY,14,49.04,1,2.93,1,0
2025-04-20 18:06:56.905878,54.44,NY,16,48.38,2,2.45,1,0
2025-04-21 02:06:58.968051,45.66,TX,20,50.5,0,8.0,0,0
2025-04-21 06:20:43.014735,50.1,NY,18,48.2,1,4.23,1,0
2025-04-22 05:37:03.282330,63.2,NY,16,49.46,0,23.27,1,0
2025-04-22 17:14:42.508988,45.27,NY,11,50.04,0,11.63,1,0
2025-04-23 02:24:31.808367,65.71,NY,15,50.51,0,9.16,1,0
